iter	Logloss
0	0.6918059352
1	0.6893729876
2	0.6870864017
3	0.6846040682
4	0.6834345502
5	0.680692812
6	0.6792466141
7	0.677057885
8	0.6750358508
9	0.6730474166
10	0.6704712111
11	0.6686011544
12	0.6677118365
13	0.6671539892
14	0.665860611
15	0.6635288985
16	0.6620393759
17	0.660283396
18	0.659945599
19	0.6572014615
20	0.6556049722
21	0.6531504244
22	0.6513947128
23	0.650429967
24	0.6489978492
25	0.6470505005
26	0.6450311565
27	0.6434807716
28	0.6417022422
29	0.6399629682
30	0.6383835613
31	0.6360245898
32	0.6341489948
33	0.6323866211
34	0.6316420649
35	0.6297079586
36	0.6278604338
37	0.6264591862
38	0.6255012189
39	0.6243745163
40	0.6228729327
41	0.6219565719
42	0.6211295177
43	0.6196292268
44	0.6183690607
45	0.6178716357
46	0.6172635025
47	0.6162113503
48	0.6142919243
49	0.6127191836
50	0.6122150603
51	0.6106647206
52	0.6083015155
53	0.6065844045
54	0.6055579827
55	0.6053081157
56	0.6040970912
57	0.6028625091
58	0.6017707403
59	0.6007545774
60	0.5996471582
61	0.5981501932
62	0.597797328
63	0.5965052092
64	0.5959501585
65	0.5946747832
66	0.5936996064
67	0.5925042783
68	0.5915495148
69	0.5903843384
70	0.589243738
71	0.5883097018
72	0.5873987457
73	0.586700626
74	0.5853707519
75	0.5848419025
76	0.5840462552
77	0.5825161986
78	0.5816600272
79	0.5813404393
80	0.5799098765
81	0.579253312
82	0.5781120306
83	0.5770436792
84	0.5767162455
85	0.5757007153
86	0.5744166502
87	0.5731980836
88	0.5718077911
89	0.5704890811
90	0.5693933667
91	0.568711423
92	0.5676894954
93	0.5675920474
94	0.5665416267
95	0.5656326674
96	0.5648925488
97	0.5647439043
98	0.5638248101
99	0.5637501608
100	0.562904093
101	0.5619400537
102	0.5609895692
103	0.559675278
104	0.5589621499
105	0.5583605884
106	0.5573404823
107	0.5567557071
108	0.556053483
109	0.55533957
110	0.5548003463
111	0.5533458088
112	0.5524674624
113	0.5519126932
114	0.5514778464
115	0.5506223344
116	0.5499975748
117	0.5491602301
118	0.5485278609
119	0.5481101991
120	0.547199683
121	0.5466069452
122	0.5455872352
123	0.5453437249
124	0.5451047304
125	0.5450773738
126	0.5449988905
127	0.5445176952
128	0.543636106
129	0.5434257762
130	0.5427696977
131	0.5425688759
132	0.5419819871
133	0.5408631743
134	0.5397510108
135	0.5391228524
136	0.5385740429
137	0.5382419837
138	0.5375168179
139	0.5364671834
140	0.5358314416
141	0.5353880478
142	0.5348116158
143	0.5343789572
144	0.5338323088
145	0.5328046739
146	0.532697578
147	0.5317587531
148	0.5309551884
149	0.5307897951
150	0.530606658
151	0.5298138915
152	0.5295607313
153	0.5295000275
154	0.5290144551
155	0.5288248905
156	0.5279393564
157	0.527271227
158	0.5268836083
159	0.5263877586
160	0.5259628788
161	0.5251877776
162	0.5246666857
163	0.524409292
164	0.5235737192
165	0.5232061991
166	0.5231548306
167	0.5227188804
168	0.5217454028
169	0.5208387164
170	0.5201518995
171	0.519703855
172	0.5190826744
173	0.5180395698
174	0.5176179903
175	0.5167108461
176	0.5161806965
177	0.5158701048
178	0.5154066008
179	0.5153610886
180	0.5145207386
181	0.5141886313
182	0.5140132906
183	0.5139040634
184	0.5138811746
185	0.5137136716
186	0.5135806988
187	0.5127514204
188	0.5123491548
189	0.5117059032
190	0.5114923036
191	0.5109979305
192	0.5109427646
193	0.5104092586
194	0.5098940558
195	0.5098065981
196	0.5096373248
197	0.5094859834
198	0.5090581606
199	0.509025395
200	0.5082234357
201	0.507994025
202	0.5076120428
203	0.5069528684
204	0.5068976884
205	0.506460819
206	0.5061912845
207	0.5056877632
208	0.5048041156
209	0.5045575292
210	0.5042520911
211	0.5038033687
212	0.5032604834
213	0.5029225998
214	0.5021273562
215	0.5017236443
216	0.5011291581
217	0.5004936665
218	0.5000272954
219	0.499793116
220	0.4995570857
221	0.4995403241
222	0.4990951998
223	0.4986046209
224	0.4985297756
225	0.4984539964
226	0.4980033942
227	0.4977144319
228	0.4973484988
229	0.4969527844
230	0.4969056426
231	0.4966508556
232	0.496455302
233	0.4962318784
234	0.4961872949
235	0.4957746455
236	0.4954974592
237	0.4949765559
238	0.4945617471
239	0.4942722757
240	0.4941359081
241	0.4935744
242	0.4934553672
243	0.4931247911
244	0.4929693353
245	0.4928795389
246	0.4927668255
247	0.4925228053
248	0.4925085541
249	0.4920902441
250	0.4915990275
251	0.4913203003
252	0.4912015717
253	0.4908965138
254	0.4904205554
255	0.4904140654
256	0.4902035896
257	0.4900635956
258	0.4898015642
259	0.4893931922
260	0.4892293908
261	0.4888474966
262	0.48859513
263	0.4883380961
264	0.4878183989
265	0.4875812826
266	0.4873573671
267	0.487351906
268	0.4868371258
269	0.4865602356
270	0.4862827215
271	0.4861148809
272	0.4857955767
273	0.4854051992
274	0.4849590229
275	0.4845840699
276	0.4841115851
277	0.4840491854
278	0.4839017244
279	0.4838876832
280	0.4835412674
281	0.4831471541
282	0.4826578075
283	0.4822289322
284	0.4818814641
285	0.481796774
286	0.4817247467
287	0.4816675433
288	0.4811624675
289	0.4808574915
290	0.4808497323
291	0.4806581467
292	0.4800936227
293	0.4799456985
294	0.479547091
295	0.479002924
296	0.478845786
297	0.4785860219
298	0.478278563
299	0.4781790709
